DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,URBAN_RURA
AL200800000003,2008,3,40.75004,19.974262,R
AL200800000005,2008,5,40.746124,19.843885,R
AL200800000007,2008,7,40.701607,19.989952,U
AL200800000008,2008,8,40.695984,19.965063,U
AL200800000009,2008,9,40.698685,19.981623,U
AL200800000014,2008,14,40.70719,19.957394,U
AL200800000018,2008,18,41.53675,20.394638,R
AL200800000019,2008,19,41.389072,20.550972,R
AL200800000022,2008,22,41.56734,20.405016,R
AL200800000025,2008,25,41.49441,20.198706,U
AL200800000026,2008,26,41.487724,20.209673,U
AL200800000032,2008,32,41.46319,20.227623,R
AL200800000033,2008,33,39.938526,20.079233,R
AL200800000035,2008,35,40.516125,20.967651,R
AL200800000040,2008,40,41.727146,20.366268,R
AL200800000045,2008,45,41.5914,20.545437,R
AL200800000052,2008,52,41.805843,20.361185,R
AL200800000056,2008,56,41.69248,20.417513,U
AL200800000058,2008,58,41.68711,20.444067,U
AL200800000061,2008,61,41.672882,20.42024,U
AL200800000063,2008,63,41.66986,20.450233,U
AL200800000072,2008,72,41.34627,19.50823,R
AL200800000073,2008,73,41.318436,19.470474,U
AL200800000085,2008,85,41.363533,19.567177,U
AL200800000086,2008,86,40.993225,19.86917,R
AL200800000089,2008,89,40.851276,19.947823,R
AL200800000091,2008,91,40.880234,19.94941,R
AL200800000096,2008,96,41.10623,20.083132,U
AL200800000098,2008,98,41.10788,20.07833,U
AL200800000099,2008,99,41.125088,20.098389,U
AL200800000101,2008,101,41.12494,20.070425,U
AL200800000105,2008,105,40.567917,19.63267,R
AL200800000114,2008,114,40.670498,19.610018,R
AL200800000115,2008,115,40.635605,19.652838,R
AL200800000116,2008,116,40.752686,19.5058,R
AL200800000120,2008,120,40.730396,19.541628,U
AL200800000132,2008,132,39.919216,20.316929,R
AL200800000134,2008,134,40.070538,20.127743,U
AL200800000135,2008,135,40.07467,20.156582,U
AL200800000137,2008,137,40.76955,20.173315,R
AL200800000142,2008,142,40.82762,20.084757,R
AL200800000144,2008,144,40.857372,20.19022,U
AL200800000156,2008,156,41.248127,19.553467,R
AL200800000157,2008,157,41.084606,19.593857,R
AL200800000159,2008,159,41.098732,19.569157,R
AL200800000161,2008,161,41.243755,19.523396,R
AL200800000166,2008,166,41.07682,19.675314,U
AL200800000174,2008,174,40.61254,20.804422,U
AL200800000182,2008,182,40.597332,20.766493,U
AL200800000185,2008,185,41.54883,19.834305,R
AL200800000187,2008,187,41.421337,19.728823,R
AL200800000190,2008,190,40.8108,19.838276,R
AL200800000195,2008,195,41.96599,20.40472,R
AL200800000203,2008,203,41.96679,20.521732,R
AL200800000207,2008,207,42.080814,20.419739,U
AL200800000209,2008,209,42.088604,20.431166,U
AL200800000212,2008,212,42.089016,20.431232,U
AL200800000213,2008,213,42.068623,20.407965,U
AL200800000215,2008,215,42.073246,20.441683,U
AL200800000221,2008,221,41.626663,19.722666,U
AL200800000222,2008,222,41.568024,19.681978,U
AL200800000233,2008,233,41.147663,20.3558,R
AL200800000237,2008,237,41.266685,20.287062,R
AL200800000238,2008,238,41.06312,20.582071,R
AL200800000239,2008,239,41.171356,20.28221,R
AL200800000240,2008,240,41.217854,20.340134,R
AL200800000249,2008,249,41.056786,20.543234,R
AL200800000254,2008,254,41.167107,20.326313,U
AL200800000255,2008,255,41.184242,20.326717,U
AL200800000256,2008,256,41.058277,20.564358,U
AL200800000262,2008,262,40.985897,19.632303,R
AL200800000267,2008,267,40.79083,19.584988,R
AL200800000278,2008,278,42.124043,19.490826,R
AL200800000279,2008,279,42.280975,19.406725,R
AL200800000282,2008,282,40.588,19.715342,R
AL200800000286,2008,286,41.541588,20.03304,R
AL200800000288,2008,288,41.584473,20.104795,R
AL200800000290,2008,290,41.736164,20.02031,R
AL200800000292,2008,292,41.049305,19.850407,R
AL200800000293,2008,293,41.05771,19.744884,U
AL200800000294,2008,294,40.240692,20.240896,R
AL200800000307,2008,307,40.085316,19.899204,R
AL200800000310,2008,310,39.874058,20.008425,U
AL200800000311,2008,311,42.045868,19.417421,R
AL200800000324,2008,324,42.060448,19.512342,U
AL200800000330,2008,330,40.52646,20.210127,R
AL200800000332,2008,332,40.414524,19.78374,R
AL200800000343,2008,343,41.290287,19.825499,R
AL200800000344,2008,344,41.38239,19.661314,R
AL200800000345,2008,345,41.413715,19.760191,R
AL200800000346,2008,346,41.36508,19.769047,U
AL200800000356,2008,356,41.338863,19.851204,U
AL200800000358,2008,358,41.31934,19.83343,U
AL200800000360,2008,360,41.32593,19.846199,U
AL200800000373,2008,373,41.340508,19.811602,U
AL200800000376,2008,376,41.33133,19.808426,U
AL200800000377,2008,377,41.333084,19.810228,U
AL200800000379,2008,379,41.344696,19.846466,U
AL200800000389,2008,389,41.327766,19.818548,U
AL200800000392,2008,392,41.348293,19.77957,U
AL200800000393,2008,393,41.346527,19.794525,U
AL200800000405,2008,405,41.32478,19.838173,U
AL200800000415,2008,415,41.326694,19.808802,U
AL200800000424,2008,424,42.35123,20.093374,R
AL200800000425,2008,425,42.42041,20.122927,R
